evaluations raw_y
7 56.0000000000
12 57.0000000000
21 59.0000000000
83 62.0000000000
375 63.0000000000
400 65.0000000000
777 66.0000000000
789 67.0000000000
9300 69.0000000000
30177 70.0000000000
44010 71.0000000000
50000 42.0000000000
evaluations raw_y
1 53.0000000000
4 62.0000000000
43 63.0000000000
250 65.0000000000
944 66.0000000000
1295 67.0000000000
4658 68.0000000000
18999 70.0000000000
50000 42.0000000000
evaluations raw_y
1 48.0000000000
2 56.0000000000
15 57.0000000000
32 58.0000000000
55 62.0000000000
181 65.0000000000
1337 66.0000000000
1373 67.0000000000
3924 68.0000000000
4595 70.0000000000
50000 53.0000000000
evaluations raw_y
1 60.0000000000
66 61.0000000000
168 64.0000000000
267 65.0000000000
1010 67.0000000000
1881 68.0000000000
6667 69.0000000000
15174 71.0000000000
